nus,dim_scales
7.777306357512015e-05,-5.284077245078026
9.338077414738784e-05,-5.377049376281294
4.883205763983168e-05,-5.402501034530414
5.227330340950533e-05,-5.404840143351284
7.512645113609002e-05,-5.40275808519323
7.593676125835827e-05,-5.407974530476323
6.40590186780884e-05,-5.400611050279642
7.037455873214294e-05,-5.451013349003005
7.419495865536233e-05,-5.396248681442368
6.332988921899731e-05,-5.425647473284472
7.792913672281135e-05,-5.454353071516153
5.831139683963945e-05,-5.47056378027096
3.8884408251424395e-05,-5.473334222649753
6.718072520698712e-05,-5.492107115234327
0.00010608113505878867,-5.495369486411161
8.375477502402059e-05,-5.480543180034949
7.471505377658817e-05,-5.515523468742776
6.013738147793168e-05,-5.518762766668905
7.75808044250339e-05,-5.4750407005614
5.872727781172317e-05,-5.503593741858723
8.294238431416364e-05,-5.5032438756686535
5.473010595454251e-05,-5.500490872793949
5.999671074940125e-05,-5.501120603702477
0.00013138140449091233,-5.425720187130988
4.884551281325255e-05,-5.535648930618307
